"sensor_serial_number","timestamp","value","measurement_unit"
"587","1358302942","333.71","kPa"
"557","1344855527","375.90","kPa"
"21","1116356485","822.90","kPa"
"542","1269205013","269.35","kPa"
"194","1156395046","21.62","kPa"
"266","1275573502","217.98","mg/Dl"
"118","1430754550","805.55","mg/Dl"
"154","1437936976","417.98","kPa"
"983","1410080146","356.34","mg/Dl"
"153","1320320933","263.92","mg/Dl"
"38","1458509243","308.24","kPa"
"926","1387877054","731.08","mg/Dl"
"49","1203945413","697.21","kPa"
"619","1209767071","98.88","kPa"
"784","1431249554","853.01","kPa"
"291","1338152542","31.31","mg/Dl"
"123","1356981502","415.44","kPa"
"850","1202479316","216.17","mg/Dl"
"932","1282268179","351.07","kPa"
"574","1301435173","368.58","kPa"
"663","1381740572","243.26","kPa"
"500","1189321577","540.73","kPa"
"54","1466671177","720.89","mg/Dl"
"509","1323946105","41.17","kPa"
"69","1140814730","881.84","mg/Dl"
"317","1259019149","373.89","kPa"
"324","1447810123","107.86","kPa"
"311","1182439664","57.84","kPa"
"723","1370076471","115.55","kPa"
"894","1259526595","909.70","mg/Dl"
"770","1188767848","252.72","kPa"
"772","1123853934","869.64","mg/Dl"
"362","1150974434","443.07","kPa"
"53","1359770091","56.03","kPa"
"375","1477365045","271.48","kPa"
"763","1457811498","860.94","mg/Dl"
"975","1369953727","154.66","kPa"
"244","1386372384","283.13","kPa"
"262","1146757873","481.86","kPa"
"735","1236874340","656.80","mg/Dl"
"31","1313406358","860.12","kPa"
"288","1464409662","617.69","kPa"
"235","1364329764","939.37","mg/Dl"
"299","1109659996","777.29","kPa"
"381","1282711071","703.50","mg/Dl"
"719","1501688992","702.17","kPa"
"747","1484589900","30.92","mg/Dl"
"15","1253062509","549.34","kPa"
"267","1370152296","888.13","kPa"
"796","1221019260","47.28","kPa"
"725","1269865379","814.59","mg/Dl"
"931","1325069882","472.79","mg/Dl"
"393","1500314348","679.77","kPa"
"482","1316262718","219.74","mg/Dl"
"213","1291780770","791.18","kPa"
"315","1423156522","429.78","mg/Dl"
"225","1344911949","755.49","kPa"
"600","1165207437","727.87","mg/Dl"
"110","1159540064","446.69","kPa"
"591","1257482593","225.01","mg/Dl"
"251","1315599834","622.81","mg/Dl"
"267","1406336112","794.40","kPa"
"625","1346375060","214.17","kPa"
"438","1341415560","949.73","kPa"
"787","1435666790","845.84","kPa"
"178","1427006104","38.84","mg/Dl"
"883","1256502127","469.48","mg/Dl"
"299","1201691809","572.85","kPa"
"153","1140407363","984.45","mg/Dl"
"579","1496003056","331.09","kPa"
"778","1132617573","797.37","kPa"
"182","1269953103","980.53","kPa"
"816","1331505921","477.60","mg/Dl"
"668","1372457559","723.37","mg/Dl"
"203","1143914254","42.70","mg/Dl"
"872","1313298837","408.87","mg/Dl"
"908","1335757454","183.28","mg/Dl"
"444","1260410656","419.41","mg/Dl"
"747","1458785667","596.15","kPa"
"720","1365951622","844.33","kPa"
"814","1274993339","925.44","kPa"
"456","1147794558","197.71","kPa"
"790","1478301786","954.67","kPa"
"514","1390060372","502.59","kPa"
"374","1305930178","191.99","kPa"
"590","1376325227","570.21","kPa"
"520","1152644289","843.86","mg/Dl"
"498","1272032135","939.12","kPa"
"820","1344091623","78.35","mg/Dl"
"869","1221576477","227.83","mg/Dl"
"92","1185937818","92.90","mg/Dl"
"890","1225784541","693.02","mg/Dl"
"357","1235994518","677.29","kPa"
"352","1244357152","1.42","kPa"
"895","1369009645","12.22","kPa"
"32","1350538583","620.94","mg/Dl"
"628","1244652951","378.73","mg/Dl"
"101","1382501712","649.52","kPa"
"389","1400315587","239.75","kPa"
"864","1390761613","238.77","kPa"
"401","1510398403","961.82","mg/Dl"
"76","1173158476","273.66","mg/Dl"
"422","1340582121","893.97","kPa"
"870","1367244297","456.36","kPa"
"809","1399650871","937.11","mg/Dl"
"719","1164870229","57.34","kPa"
"539","1434490950","400.03","mg/Dl"
"749","1110029641","63.91","kPa"
"282","1123239432","327.78","kPa"
"771","1208310916","326.67","mg/Dl"
"719","1463991569","539.81","kPa"
"502","1214629500","208.85","kPa"
"808","1410258267","966.95","mg/Dl"
"41","1342222872","638.60","kPa"
"336","1428866883","117.82","mg/Dl"
"469","1144811172","887.97","mg/Dl"
"473","1284623865","431.60","kPa"
"198","1506970615","717.11","mg/Dl"
"203","1505138806","131.68","mg/Dl"
"882","1311609487","171.98","mg/Dl"
"469","1416866371","934.19","kPa"
"146","1156987002","577.81","mg/Dl"
"816","1122493806","489.29","kPa"
"762","1298235238","478.33","mg/Dl"
"387","1163286935","849.38","kPa"
"557","1366380234","108.72","kPa"
"378","1238643829","124.49","kPa"
"55","1377902026","713.00","kPa"
"675","1456394455","65.89","kPa"
"747","1344069565","707.59","mg/Dl"
"119","1256358424","828.69","kPa"
"193","1233365157","513.17","mg/Dl"
"991","1484222668","22.51","mg/Dl"
"670","1242468716","315.44","kPa"
"589","1296287856","238.11","mg/Dl"
"591","1216850794","139.87","mg/Dl"
"796","1458924895","112.65","kPa"
"877","1176523249","331.79","mg/Dl"
"121","1266375908","194.51","kPa"
"681","1168749519","793.52","kPa"
"288","1495877702","122.94","kPa"
"835","1228439064","448.37","mg/Dl"
"860","1269657212","131.93","kPa"
"914","1352344681","255.20","mg/Dl"
"674","1263335761","509.31","mg/Dl"
"221","1373263194","396.51","kPa"
"834","1329807499","232.83","mg/Dl"
"299","1432830271","792.35","kPa"
"297","1466558823","607.90","kPa"
"763","1353609902","967.37","mg/Dl"
"441","1179665855","843.83","mg/Dl"
"825","1355243510","210.26","kPa"
"932","1196398070","328.33","mg/Dl"
"307","1328737403","434.90","kPa"
"836","1293343476","44.95","mg/Dl"
"883","1420728866","779.28","kPa"
"372","1189748233","483.22","mg/Dl"
"406","1160288152","688.00","mg/Dl"
"51","1376546196","325.58","kPa"
"541","1297521861","522.38","mg/Dl"
"251","1377058820","670.64","mg/Dl"
"180","1310635519","961.48","mg/Dl"
"978","1259557942","36.17","kPa"
"998","1484191513","9.07","mg/Dl"
"258","1300519974","545.16","mg/Dl"
"189","1252256787","44.64","mg/Dl"
"166","1415971125","656.94","mg/Dl"
"40","1324544049","369.02","mg/Dl"
"448","1152948453","388.19","kPa"
"947","1386147761","241.75","kPa"
"232","1277729321","953.01","mg/Dl"
"856","1175680185","712.10","kPa"
"388","1226688740","119.96","mg/Dl"
"825","1308179089","160.56","mg/Dl"
"428","1325903239","770.12","kPa"
"694","1382005067","521.85","mg/Dl"
"312","1279426546","282.97","kPa"
"87","1203394933","612.90","kPa"
"529","1316361235","565.62","kPa"
"180","1338129313","875.24","kPa"
"42","1514577832","70.89","kPa"
"174","1429701495","525.70","mg/Dl"
"194","1122635692","766.96","mg/Dl"
"683","1467080224","533.95","mg/Dl"
"435","1278376405","176.92","mg/Dl"
"813","1450053035","781.37","mg/Dl"
"683","1462341743","702.64","mg/Dl"
"124","1303487462","51.35","mg/Dl"
"684","1387795893","92.17","mg/Dl"
"455","1146346585","333.00","mg/Dl"
"710","1257605282","160.72","kPa"
"574","1328673255","43.66","mg/Dl"
"577","1245419927","497.27","kPa"
"432","1371693907","773.12","kPa"
"839","1392732257","595.40","mg/Dl"
"216","1362510257","685.68","kPa"
"430","1299477621","559.36","kPa"
"747","1354893200","773.94","kPa"
"721","1229229343","624.45","mg/Dl"
"489","1138451877","308.10","mg/Dl"
"376","1348951054","271.86","mg/Dl"
"913","1163278128","462.23","mg/Dl"
"474","1155357934","738.55","mg/Dl"
"192","1478930796","697.48","kPa"
"289","1170158251","455.75","mg/Dl"
"52","1391857473","844.26","kPa"
"572","1306274434","78.12","kPa"
"965","1278040236","329.88","mg/Dl"
"307","1308660791","678.97","mg/Dl"
"488","1504860501","853.77","mg/Dl"
"324","1286415662","724.15","mg/Dl"
"829","1477213826","304.98","mg/Dl"
"59","1486927655","144.25","mg/Dl"
"57","1465799157","460.43","kPa"
"257","1118111452","196.44","kPa"
"172","1399596205","190.10","kPa"
"65","1220061496","546.16","mg/Dl"
"185","1408860982","546.71","mg/Dl"
"888","1130211923","756.21","mg/Dl"
"103","1470984571","332.27","kPa"
"419","1492209487","4.34","mg/Dl"
"970","1227057581","937.82","mg/Dl"
"156","1425624794","669.39","mg/Dl"
"274","1146310856","451.02","mg/Dl"
"721","1225976830","442.75","kPa"
"643","1131285924","52.48","mg/Dl"
"71","1429494640","802.80","mg/Dl"
"106","1389295860","486.13","mg/Dl"
"842","1327577772","203.64","mg/Dl"
"982","1296061395","131.26","mg/Dl"
"255","1492531545","797.62","mg/Dl"
"278","1327124480","741.62","mg/Dl"
"331","1249523567","260.26","mg/Dl"
"932","1471917472","895.21","mg/Dl"
"607","1264101165","592.64","kPa"
"334","1112053651","341.12","kPa"
"278","1119330027","123.50","mg/Dl"
"22","1338149723","788.76","kPa"
"276","1510435204","254.55","kPa"
"156","1434532193","889.42","kPa"
"835","1213295236","425.66","kPa"
"231","1381043900","669.22","mg/Dl"
"676","1279286157","913.28","mg/Dl"
"268","1462606451","21.40","kPa"
"490","1252731723","208.34","kPa"
"97","1291288580","919.30","mg/Dl"
"42","1394627472","97.38","kPa"
"822","1196255996","211.72","mg/Dl"
"101","1452220468","141.61","mg/Dl"
"641","1441838185","479.68","mg/Dl"
"701","1197842725","917.94","kPa"
"847","1148342982","817.30","kPa"
"870","1164713781","258.11","kPa"
"796","1446252366","225.30","mg/Dl"
"213","1294798511","358.95","kPa"
"688","1124471108","829.67","kPa"
"579","1316844425","298.51","mg/Dl"
"858","1457198690","442.15","kPa"
"831","1113199249","397.90","mg/Dl"
"956","1511678300","225.12","kPa"
"295","1235462080","433.46","kPa"
"614","1420782676","900.62","kPa"
"832","1132226503","802.51","mg/Dl"
"550","1404764063","118.33","kPa"
"705","1325499295","952.71","mg/Dl"
"310","1113434027","166.77","mg/Dl"
"796","1180885817","227.66","kPa"
"746","1162084472","148.34","mg/Dl"
"118","1126012652","493.14","kPa"
"216","1323088025","344.97","mg/Dl"
"382","1313611766","671.43","kPa"
"623","1462325086","656.10","mg/Dl"
"148","1421254676","515.50","kPa"
"836","1292246945","402.99","kPa"
"405","1249739626","439.67","kPa"
"519","1296504364","248.54","mg/Dl"
"770","1128876668","33.24","mg/Dl"
"970","1437877277","595.31","mg/Dl"
"957","1169248968","515.83","mg/Dl"
"477","1463653951","286.74","mg/Dl"
"332","1206487771","47.40","mg/Dl"
"257","1211741171","270.44","mg/Dl"
"980","1240559606","635.92","kPa"
"862","1302940007","684.36","kPa"
"382","1145241780","747.61","kPa"
"574","1232894324","525.24","mg/Dl"
"309","1314010619","428.27","kPa"
"404","1131545224","157.28","mg/Dl"
"87","1111786889","302.21","kPa"
"637","1405631153","751.93","kPa"
"816","1271876100","693.22","mg/Dl"
"251","1111899046","726.70","kPa"
"129","1513460326","979.23","mg/Dl"
"579","1209738277","112.95","mg/Dl"
"457","1269498541","270.44","mg/Dl"
"364","1199946555","845.11","kPa"
"122","1112825482","415.47","mg/Dl"
"639","1318148272","374.15","mg/Dl"
"725","1138928922","969.29","mg/Dl"
"59","1398000056","988.48","mg/Dl"
"901","1162642084","81.88","mg/Dl"
"438","1435958296","328.70","kPa"
"51","1225996732","722.89","mg/Dl"
"406","1446106059","937.52","mg/Dl"
"869","1392428448","381.78","mg/Dl"
"126","1376636826","252.06","mg/Dl"
"993","1261640559","466.67","mg/Dl"
"473","1502343997","257.33","kPa"
"293","1242218612","361.71","mg/Dl"
"905","1440042118","442.51","kPa"
"885","1338607385","239.89","mg/Dl"
"805","1424940760","676.99","mg/Dl"
"266","1359605831","715.51","mg/Dl"
