"sensor_serial_number","timestamp","value","measurement_unit"
"247","1343908244","782.58","mg/Dl"
"864","1215433972","620.69","mg/Dl"
"615","1514654186","610.94","mg/Dl"
"154","1419860023","718.54","mg/Dl"
"924","1108043485","93.61","kPa"
"741","1251567282","825.24","kPa"
"299","1219134587","906.14","kPa"
"541","1504963129","736.77","mg/Dl"
"673","1366450109","425.26","kPa"
"663","1175946710","221.76","mg/Dl"
"88","1107431465","739.10","mg/Dl"
"121","1303899481","964.27","kPa"
"164","1174030499","260.15","mg/Dl"
"752","1330929343","798.57","kPa"
"292","1177280336","816.43","kPa"
"644","1312560671","134.24","kPa"
"874","1177993782","941.70","kPa"
"221","1339993531","98.98","kPa"
"888","1381814969","286.12","kPa"
"432","1504364508","393.09","mg/Dl"
"202","1477495874","856.07","kPa"
"274","1141531017","953.23","kPa"
"224","1114239557","850.25","mg/Dl"
"970","1212991037","644.79","kPa"
"126","1186369683","577.06","mg/Dl"
"46","1269562665","550.40","mg/Dl"
"644","1182792478","655.34","kPa"
"54","1243829748","281.33","kPa"
"686","1506378863","961.92","kPa"
"346","1275636981","724.98","mg/Dl"
"520","1379987542","591.35","kPa"
"721","1368163000","946.14","kPa"
"381","1370813379","136.21","kPa"
"323","1238247371","603.69","kPa"
"382","1388678584","533.66","kPa"
"680","1125026149","326.03","mg/Dl"
"381","1373142143","412.35","kPa"
"191","1173490306","434.76","mg/Dl"
"307","1195299435","621.89","kPa"
"73","1215768090","222.01","mg/Dl"
"510","1440910713","449.11","mg/Dl"
"619","1323788087","504.63","kPa"
"82","1198727814","885.41","kPa"
"151","1176664931","310.51","kPa"
"790","1282842654","378.19","kPa"
"188","1246985933","536.72","kPa"
"134","1387702953","397.10","kPa"
"275","1481506066","73.93","mg/Dl"
"423","1389488195","199.47","mg/Dl"
"257","1301342702","862.21","mg/Dl"
"1","1158086848","665.78","mg/Dl"
"631","1443749723","353.14","kPa"
"675","1252689604","477.64","mg/Dl"
"519","1512510292","954.32","kPa"
"796","1215251876","161.69","kPa"
"875","1464233305","854.16","kPa"
"153","1305508736","260.90","mg/Dl"
"292","1326448916","626.13","mg/Dl"
"617","1216518454","710.79","kPa"
"542","1375352394","727.81","mg/Dl"
"653","1120024723","186.12","mg/Dl"
"823","1363813168","305.56","mg/Dl"
"533","1378815035","990.20","mg/Dl"
"834","1211128232","33.14","kPa"
"309","1380534637","935.29","kPa"
"641","1203707744","322.33","kPa"
"815","1163799271","510.91","kPa"
"181","1437976666","494.19","mg/Dl"
"32","1461886791","564.28","kPa"
"416","1144409678","67.84","mg/Dl"
"322","1471386327","283.09","kPa"
"482","1493764468","464.70","kPa"
"376","1333839493","737.86","kPa"
"643","1125317964","222.44","mg/Dl"
"278","1367449289","825.26","mg/Dl"
"547","1360490917","426.16","kPa"
"797","1418991430","573.72","mg/Dl"
"643","1172910906","983.43","mg/Dl"
"888","1193667683","300.85","mg/Dl"
"93","1162098670","662.33","kPa"
"440","1207190511","623.44","mg/Dl"
"791","1308100916","372.94","kPa"
"523","1243877270","343.54","kPa"
"662","1506924773","976.75","kPa"
"314","1249771205","499.96","kPa"
