"sensor_serial_number","timestamp","value","measurement_unit"
"793","2007-06-18 21:46:31","604.48","mg/Dl"
"948","2009-03-06 17:09:43","626.62","mg/Dl"
"874","2013-05-09 16:49:26","325.00","kPa"
"643","2011-09-16 02:59:48","823.88","mg/Dl"
"461","2008-11-14 00:55:34","3.63","kPa"
"495","2005-03-20 18:10:03","960.91","mg/Dl"
"471","2014-09-23 21:26:10","577.59","mg/Dl"
"352","2016-02-12 20:37:23","126.57","mg/Dl"
"323","2017-01-23 22:28:40","284.22","kPa"
"469","2011-10-24 01:18:55","167.75","mg/Dl"
"163","2009-06-30 05:42:05","932.13","kPa"
"515","2012-06-14 11:59:42","77.36","kPa"
"179","2008-07-03 02:32:14","846.60","kPa"
"215","2010-01-21 16:34:24","386.11","mg/Dl"
"531","2017-12-06 00:41:54","885.19","mg/Dl"
"808","2010-09-17 16:54:21","827.79","kPa"
"69","2007-08-07 03:19:29","339.16","kPa"
"514","2010-08-22 13:28:34","64.19","mg/Dl"
"504","2007-08-09 22:59:33","784.91","mg/Dl"
"357","2006-02-18 06:33:38","140.50","kPa"
"244","2007-05-04 12:40:36","470.08","mg/Dl"
"913","2008-02-01 14:23:10","546.33","kPa"
"179","2007-08-29 15:53:56","882.16","kPa"
"783","2006-01-08 01:18:45","184.05","kPa"
"59","2012-01-13 12:16:27","100.61","kPa"
"883","2017-05-01 13:48:29","301.80","mg/Dl"
"814","2017-07-22 05:03:29","55.55","mg/Dl"
"349","2009-04-11 19:00:01","92.35","mg/Dl"
"405","2007-05-03 07:24:17","159.62","kPa"
"352","2015-01-05 02:27:46","454.41","kPa"
"291","2005-06-17 23:33:28","29.50","kPa"
"374","2014-01-10 13:50:57","575.12","kPa"
"53","2015-04-05 03:22:23","329.74","kPa"
"282","2009-05-26 21:04:51","940.56","kPa"
"577","2015-05-20 12:47:50","643.87","mg/Dl"
"484","2009-06-15 02:24:36","987.54","kPa"
"654","2005-05-02 17:05:31","773.31","mg/Dl"
"662","2010-03-15 21:59:39","448.88","kPa"
"929","2006-07-13 12:36:37","879.26","kPa"
"42","2011-03-17 17:28:48","46.00","kPa"
"452","2017-09-28 00:11:42","389.52","kPa"
"756","2011-02-11 10:44:51","275.80","mg/Dl"
"461","2005-05-10 09:30:39","893.55","mg/Dl"
"615","2006-01-09 20:54:17","810.99","mg/Dl"
"936","2017-09-11 19:33:16","224.42","kPa"
"427","2016-05-05 03:04:43","369.20","mg/Dl"
"197","2017-09-02 16:07:37","283.70","kPa"
"364","2017-10-31 00:26:01","649.33","mg/Dl"
"943","2009-12-08 02:54:41","691.33","kPa"
"791","2014-10-10 00:31:00","126.22","kPa"
"155","2008-01-13 07:54:10","150.59","mg/Dl"
"477","2006-08-27 03:40:04","634.75","mg/Dl"
