"sensor_serial_number","timestamp","value","measurement_unit"
"568","2016-05-29 16:58:39","679.64","mg/Dl"
"313","2012-02-18 08:46:42","999.51","kPa"
"178","2012-05-13 22:39:23","415.65","mg/Dl"
"57","2008-03-04 01:10:08","634.79","kPa"
"440","2012-09-04 16:57:26","309.46","mg/Dl"
"247","2012-11-01 03:26:04","232.61","kPa"
"54","2015-01-01 23:17:34","318.93","kPa"
"904","2014-02-04 07:35:23","931.07","mg/Dl"
"323","2010-08-13 12:40:06","968.55","mg/Dl"
"122","2012-09-23 14:40:01","669.17","mg/Dl"
"113","2011-07-18 00:38:14","714.84","mg/Dl"
"280","2011-12-22 22:50:39","71.94","mg/Dl"
"802","2009-03-09 20:20:16","829.33","kPa"
"309","2014-09-29 19:35:42","27.99","mg/Dl"
"477","2016-02-17 09:19:52","432.91","mg/Dl"
"948","2006-08-05 12:02:39","785.42","mg/Dl"
"541","2011-07-15 17:39:40","179.18","kPa"
"965","2010-04-03 06:19:17","62.61","mg/Dl"
"918","2006-11-24 00:44:35","136.82","kPa"
"148","2006-06-01 20:28:33","445.54","mg/Dl"
"976","2016-01-09 23:36:51","854.54","mg/Dl"
"282","2016-06-29 21:38:15","921.23","mg/Dl"
"282","2009-12-30 06:52:14","427.55","mg/Dl"
"296","2007-04-12 12:26:29","431.98","kPa"
"260","2013-08-10 16:49:02","720.11","kPa"
"371","2011-08-29 14:21:11","683.40","mg/Dl"
"845","2011-11-11 15:53:34","161.12","kPa"
"931","2008-04-22 06:50:39","410.43","kPa"
"40","2015-04-17 19:45:54","724.80","kPa"
"799","2006-10-07 03:16:01","912.15","kPa"
"813","2011-01-30 17:04:53","667.42","kPa"
"231","2011-04-16 01:57:48","874.60","mg/Dl"
"523","2017-02-17 03:54:49","227.26","kPa"
"484","2016-04-20 04:15:51","478.85","mg/Dl"
"388","2008-12-29 13:28:03","45.70","mg/Dl"
"323","2012-04-10 01:09:12","162.84","kPa"
"920","2007-04-18 13:17:24","350.95","mg/Dl"
"994","2014-12-01 16:05:31","493.60","mg/Dl"
"94","2011-09-05 18:34:55","608.08","kPa"
"341","2012-10-04 04:26:31","690.90","mg/Dl"
"662","2015-04-17 02:10:04","102.84","mg/Dl"
"334","2016-12-31 22:44:10","905.28","mg/Dl"
"301","2005-08-15 22:18:15","843.83","mg/Dl"
"148","2005-02-28 20:55:02","326.60","mg/Dl"
"216","2005-07-16 18:12:19","869.17","mg/Dl"
"35","2016-03-23 00:07:37","222.96","kPa"
"975","2012-07-01 23:02:09","985.54","mg/Dl"
"590","2008-10-08 16:11:18","673.23","kPa"
"249","2013-06-07 10:38:08","688.22","mg/Dl"
"488","2010-01-07 01:17:25","854.52","kPa"
"362","2009-11-23 10:14:32","372.38","mg/Dl"
"518","2005-12-19 17:36:38","525.61","kPa"
"228","2010-07-30 14:59:09","392.25","kPa"
"922","2011-02-06 14:14:15","758.41","kPa"
"298","2008-12-05 13:58:35","326.12","kPa"
"717","2015-08-28 12:11:06","915.70","mg/Dl"
"149","2009-10-20 15:05:53","309.34","mg/Dl"
"426","2010-09-07 04:31:23","460.97","mg/Dl"
"727","2008-09-25 17:24:04","182.42","kPa"
"678","2011-11-16 09:09:24","974.78","kPa"
"755","2008-06-28 11:00:25","721.08","mg/Dl"
"154","2013-08-01 20:22:19","4.31","mg/Dl"
"290","2016-06-08 12:50:00","452.92","kPa"
"840","2007-08-31 04:37:07","304.44","mg/Dl"
"502","2015-06-04 01:58:50","682.63","mg/Dl"
"181","2013-09-05 10:23:08","58.96","mg/Dl"
"372","2013-10-04 03:40:40","832.84","mg/Dl"
"398","2009-12-12 09:04:02","671.28","kPa"
"294","2014-10-15 01:52:49","129.68","mg/Dl"
"652","2007-05-02 11:01:28","260.33","kPa"
"507","2009-04-28 18:02:49","914.34","mg/Dl"
"414","2011-11-13 09:02:46","617.95","kPa"
"104","2007-08-22 03:46:22","419.97","mg/Dl"
"641","2014-06-12 20:02:15","809.81","mg/Dl"
"430","2017-12-26 19:19:05","17.76","mg/Dl"
"272","2012-09-07 05:16:26","18.28","kPa"
"448","2011-10-29 16:23:53","587.12","mg/Dl"
"67","2017-09-30 21:44:28","518.83","kPa"
"983","2015-07-02 08:35:27","510.58","mg/Dl"
"478","2006-04-04 04:17:47","694.66","kPa"
"40","2010-08-02 17:00:56","620.83","mg/Dl"
"185","2016-01-27 00:48:55","768.16","kPa"
"280","2007-03-21 02:58:28","348.60","kPa"
"31","2007-12-11 18:41:15","963.12","mg/Dl"
"516","2006-06-11 18:44:37","29.43","mg/Dl"
"940","2016-08-26 14:05:14","305.05","kPa"
"50","2007-07-24 04:50:08","343.93","kPa"
"263","2016-11-03 02:53:01","374.79","kPa"
"529","2011-01-14 15:27:36","789.91","mg/Dl"
"845","2011-01-27 04:05:48","407.09","mg/Dl"
"148","2015-03-02 20:44:20","841.49","mg/Dl"
"76","2006-11-02 09:52:48","982.03","kPa"
"302","2010-05-18 16:03:09","545.05","kPa"
"301","2009-10-05 14:49:39","704.55","mg/Dl"
"823","2010-05-23 23:54:56","68.52","mg/Dl"
"34","2017-07-30 06:47:13","173.36","kPa"
"587","2017-12-14 04:01:05","568.60","mg/Dl"
"12","2015-05-21 05:18:21","871.63","mg/Dl"
"610","2016-05-13 23:34:51","410.87","mg/Dl"
"131","2010-07-05 19:33:54","493.29","kPa"
"954","2015-01-02 21:01:14","586.84","kPa"
"897","2011-02-03 08:57:06","472.61","kPa"
"469","2011-11-08 11:21:36","265.46","mg/Dl"
"474","2012-10-06 18:28:26","891.60","kPa"
"332","2011-08-19 21:25:59","18.39","mg/Dl"
"579","2006-08-08 16:34:27","480.04","mg/Dl"
"924","2008-12-18 11:39:15","919.99","kPa"
"994","2009-12-06 06:09:05","531.08","kPa"
"591","2012-01-24 08:39:21","574.08","mg/Dl"
"529","2011-11-12 08:27:44","369.89","mg/Dl"
"442","2012-07-30 11:21:39","118.95","kPa"
"71","2013-09-07 06:17:34","623.63","mg/Dl"
"478","2012-06-30 13:19:05","444.81","kPa"
"834","2011-02-27 17:56:51","242.59","mg/Dl"
"621","2009-12-21 08:19:48","589.24","mg/Dl"
"662","2014-07-14 08:11:48","761.74","mg/Dl"
"630","2014-06-26 02:58:05","497.74","kPa"
"97","2014-04-20 15:33:38","119.06","mg/Dl"
"392","2005-04-23 21:19:04","819.38","mg/Dl"
"155","2005-07-28 01:40:05","865.46","kPa"
"515","2009-07-20 16:59:12","999.79","kPa"
"547","2012-07-14 11:50:38","417.17","mg/Dl"
"43","2013-07-16 20:02:26","812.83","kPa"
"549","2011-03-10 00:27:04","174.85","mg/Dl"
"61","2012-01-06 13:20:25","392.19","kPa"
"215","2009-01-20 19:28:44","626.90","mg/Dl"
"765","2010-01-23 22:46:30","368.99","kPa"
"619","2016-01-27 16:11:00","683.48","mg/Dl"
"943","2012-08-22 20:14:47","551.11","kPa"
"182","2017-01-13 07:58:39","371.42","mg/Dl"
"775","2013-07-25 07:00:14","684.92","kPa"
"442","2009-11-27 08:35:52","30.80","mg/Dl"
"448","2015-12-25 02:12:54","786.77","mg/Dl"
"468","2010-04-13 00:58:25","366.31","mg/Dl"
"142","2008-08-25 20:58:59","716.00","kPa"
"658","2009-12-30 16:27:08","149.29","mg/Dl"
"40","2010-12-28 09:43:43","556.89","mg/Dl"
"218","2015-11-28 07:14:03","270.84","mg/Dl"
"201","2008-06-27 20:25:35","785.74","mg/Dl"
"630","2016-12-13 12:21:39","897.15","kPa"
"622","2006-08-16 13:04:42","500.44","kPa"
"362","2015-01-05 16:54:16","62.84","kPa"
"216","2011-05-31 10:57:18","392.94","kPa"
"633","2011-07-27 09:07:02","497.96","kPa"
"510","2015-01-14 06:40:12","933.66","kPa"
"399","2013-12-07 04:22:55","362.40","kPa"
"547","2015-10-23 03:58:55","28.52","mg/Dl"
"940","2017-03-20 05:52:47","855.66","kPa"
"985","2015-11-17 22:23:21","392.74","kPa"
"807","2012-01-15 18:21:27","80.32","mg/Dl"
"968","2012-06-01 17:27:03","84.98","kPa"
"975","2014-02-04 09:06:56","716.90","kPa"
"336","2011-12-03 13:13:55","156.11","kPa"
"272","2017-03-06 19:44:36","873.19","mg/Dl"
"814","2015-09-04 04:20:53","618.17","kPa"
"401","2008-09-27 06:19:48","212.04","kPa"
"710","2014-10-17 03:56:30","934.41","mg/Dl"
"29","2015-06-15 04:06:08","149.96","mg/Dl"
"761","2014-09-28 07:24:06","804.04","kPa"
"561","2012-11-11 05:25:24","522.05","mg/Dl"
"458","2013-10-29 08:10:13","76.89","kPa"
"72","2007-11-13 12:58:44","793.72","mg/Dl"
"491","2009-07-03 21:18:11","422.28","mg/Dl"
