"sensor_serial_number","timestamp","value","measurement_unit"
"89","1513693382","4.17","mg/Dl"
"297","1214655498","49.73","kPa"
"577","1423149558","852.71","mg/Dl"
"615","1394370128","804.06","mg/Dl"
"58","1364229870","680.32","kPa"
"888","1398806369","819.17","mg/Dl"
"157","1369831399","448.38","mg/Dl"
"772","1492249988","851.27","mg/Dl"
"228","1201522428","898.67","kPa"
"628","1303927977","340.53","mg/Dl"
"195","1402952472","48.84","kPa"
"109","1486682046","796.95","mg/Dl"
"539","1249530651","132.18","kPa"
"809","1142981065","381.59","mg/Dl"
"969","1128457959","143.09","mg/Dl"
"440","1488228724","515.16","kPa"
"561","1500096440","753.12","mg/Dl"
"24","1478588205","196.62","kPa"
"278","1285076436","387.41","mg/Dl"
"678","1234592574","374.02","mg/Dl"
"175","1438655839","991.82","mg/Dl"
"58","1472971937","542.53","kPa"
"437","1324791399","224.80","mg/Dl"
"307","1482730598","692.90","mg/Dl"
"643","1132463420","923.89","kPa"
"216","1177830022","567.77","kPa"
"176","1301558623","129.57","mg/Dl"
"765","1369763201","752.42","kPa"
"862","1434897544","303.96","mg/Dl"
"574","1342866872","606.92","mg/Dl"
"739","1227810125","719.77","kPa"
"579","1243370353","193.26","mg/Dl"
"928","1427212345","76.59","kPa"
"490","1321076259","747.25","kPa"
"67","1348940102","945.36","kPa"
"368","1335725506","551.57","kPa"
"415","1152434364","564.06","mg/Dl"
"614","1240802181","272.42","mg/Dl"
"531","1376501546","182.56","kPa"
"727","1157339864","495.66","kPa"
"235","1355405236","655.98","kPa"
"298","1486388217","734.47","mg/Dl"
"192","1299988269","342.71","mg/Dl"
"817","1333877789","52.44","mg/Dl"
"816","1239168879","806.79","mg/Dl"
"427","1138565954","456.51","kPa"
"163","1276998045","39.02","kPa"
"633","1426904489","742.09","mg/Dl"
"274","1306757576","285.44","mg/Dl"
"415","1167678092","726.84","mg/Dl"
"815","1265561216","444.86","kPa"
"260","1260618804","75.35","kPa"
"266","1321149369","915.01","kPa"
"427","1106594235","809.53","kPa"
"1","1211205311","724.93","kPa"
"291","1255173017","310.35","kPa"
"551","1218787049","490.43","mg/Dl"
"221","1464163423","166.61","mg/Dl"
"142","1497549053","823.28","mg/Dl"
"507","1352866549","714.53","mg/Dl"
